id,eventText,choiceLeft,choiceRight,bearer,shareholdersChangeLeft,employeesChangeLeft,moneyChangeLeft,customersChangeLeft,shareholdersChangeRight,employeesChangeRight,moneyChangeRight,customersChangeRight
0,Our competitors are investing in AI. Should we do the same?,Lets invest immediately!,"No, we need more data before diving in.",CTO,5,-5,-10,5,-5,5,10,-5
1,I found this new SaaS that will boost sales. Can we buy it?,Let's acquire it now!,"We can't afford it right now, maybe later.",CMO,-5,0,-30,10,10,0,0,5
2,Our latest marketing campaign wasn't as successful as we hoped. Should we change the strategy?,Let's pivot to a different approach!,We need more time to evaluate the data.,CMO,-10,5,-15,20,5,0,-5,10
3,One of our key employees is leaving for a competitor. What should we do?,Let's offer them a raise to stay!,"Let them go, we’ll find someone better.",HR,-5,10,-5,5,10,-10,5,0
4,The CEO of a major competitor just resigned. Should we take advantage?,Let’s hire them right away!,Let’s wait and see who replaces them.,Lead Investor,-5,-5,10,-5,-10,5,0,5
5,A new startup has launched a similar product to ours. Should we be concerned?,Let’s ramp up marketing to outpace them!,"Let’s focus on improving our product, not them.",COO,0,5,-5,10,5,-5,5,0
6,We’re running low on cash. Should we raise more funds?,Let’s launch a crowdfunding campaign!,"No, let’s cut some costs first.",Bank,0,0,-20,0,5,0,0,0
7,The government just announced new regulations that could affect our product. What should we do?,We need to consult a lawyer and adjust our plans.,"We’ll ignore it for now, we’re too small to be affected.",CTO,-5,0,-10,0,10,0,0,0
8,We received an offer to sell the company. Should we consider it?,Lets sell and focus on new opportunities!,Let’s keep growing; we’re not ready to sell yet.,Lead Investor,-10,0,20,5,-20,0,0,5
9,The design team has proposed a major UI overhaul. Should we go forward with it?,Let’s proceed and launch a new version.,Let’s hold off and improve the current design.,Designer,0,5,-10,5,0,-5,0,0
10,One of our partners is asking for more equity. Should we agree?,"Let’s offer them the equity, they’ve earned it!","No, we need to protect our ownership.",Co-founder,-5,0,-10,0,10,0,0,0
11,We’re considering expanding into a new international market. Should we do it?,Let’s go global immediately!,We need to research it more before making a move.,CTO,5,10,-20,10,-5,5,0,5
12,There’s a new competitor offering lower prices than us. Should we match their pricing?,We need to lower our prices to stay competitive!,We should focus on adding more value instead of competing on price.,CMO,-10,5,-20,5,0,5,0,0
13,Our sales team is underperforming. Should we let some people go?,Let’s fire the underperformers and hire fresh talent!,Let’s offer them additional training before making any decisions.,Sales Manager,0,-10,-10,0,0,10,5,0
14,We’ve just received a huge order. Should we scale up production?,Let’s invest in new equipment right now!,Let’s scale slowly and see if this order is just a one-time thing.,COO,10,10,50,15,-10,0,-5,5
15,A major influencer wants to promote our product. Should we work with them?,"Yes, let’s get the deal signed immediately!",We need to think carefully before committing.,Influencer,5,0,-5,20,0,0,5,10
16,Our social media engagement has dropped significantly. Should we change our strategy?,Let’s hire a social media expert to help us!,Let’s analyze the data first and figure out what went wrong.,CMO,-5,0,-10,5,5,0,0,5
17,A competitor just raised a massive round of funding. Should we raise more funds now?,"Yes, we should compete directly by raising a bigger round!","We should wait for better terms, it’s not the right time.",Lead Investor,-10,0,5,0,10,0,0,0
18,Our sales have plateaued. Should we try to diversify our product offerings?,"Yes, let’s release new products right away!",Let’s focus on improving our current product before diversifying.,Co-founder,-5,5,-10,10,5,0,0,5
19,We’ve been offered a partnership with a large retailer. Should we pursue it?,"Yes, this could be a game-changer for us!","Let’s decline, we’re not ready for that level of exposure yet.",CMO,0,5,10,10,-5,0,0,0
20,One of our employees is constantly late. Should we take action?,Let’s fire them immediately!,Let’s give them a warning and try to work things out.,HR,0,-5,-5,0,5,0,0,0
21,We’re considering reducing our product prices to attract more customers. Should we do it?,"Yes, we need to capture more market share!","No, we’ll risk damaging our brand value.",CMO,-5,5,-15,20,5,0,-5,5
22,Our product has a defect that could affect customers. Should we recall it?,"Yes, let’s recall it immediately!",We’ll fix the defect in the next version.,COO,-10,0,-50,0,0,0,0,0
23,One of our investors is asking for a larger share of equity. Should we agree?,"Let’s give them the equity, they are key to our success.","No, we cannot dilute ourselves any further.",Lead Investor,-5,0,-5,0,5,0,0,0
24,We’re considering opening a new office overseas. Should we proceed?,"Yes, we need to expand to international markets!",Let’s hold off until we’re more established.,COO,5,10,-20,15,-5,5,5,5
